index,Loan_Amount,Credit_Status
36,0,Y
17,10000000,Y
37,10000000,N
21,10400000,N
33,10600000,N
12,10900000,Y
28,11000000,Y
40,11000000,Y
24,11200000,N
14,11400000,N
34,11400000,Y
20,11500000,Y
23,11600000,N
4,12000000,Y
30,12000000,Y
49,12000000,N
27,12200000,Y
16,12500000,Y
2,12800000,N
19,13300000,N
44,13400000,Y
5,14100000,Y
38,14400000,Y
48,14400000,Y
1,15000000,Y
25,15100000,N
8,15800000,N
9,16800000,Y
15,1700000,Y
39,18400000,Y
26,19100000,Y
13,20000000,Y
31,20100000,N
6,26700000,Y
22,31500000,Y
35,32000000,N
10,34900000,N
29,3500000,N
47,4400000,Y
42,4700000,Y
3,6600000,Y
11,7000000,Y
32,7400000,N
43,7500000,Y
18,7600000,N
41,8000000,N
46,8800000,Y
7,9500000,Y
45,9600000,Y
